epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
63	0.9225	1.2132	|	0.8464	0.6805	28.0972	43.9024	|	0.9603	0.6177	18.4187	30.2326	|  Best result at epoch 60
64	0.5478	1.1956	|	0.8260	0.6400	29.8304	46.3415	|	1.0046	0.6847	14.6581	23.2558	|  Best result at epoch 60
65	0.5778	1.0948	|	0.7654	0.6751	34.9787	53.6585	|	1.1710	0.9559	0.5216	18.6047	|  Best result at epoch 60
66	0.5967	1.2308	|	0.8195	0.6623	30.3795	53.6585	|	1.2316	0.9711	-4.6229	20.9302	|  Best result at epoch 60
67	0.5179	1.0914	|	0.7670	0.6691	34.8452	53.6585	|	1.0941	0.8244	7.0573	20.9302	|  Best result at epoch 60
68	0.4354	1.4457	|	0.9538	0.8368	18.9723	43.9024	|	0.9604	0.5488	18.4098	32.5581	|  Best result at epoch 60
69	0.8752	2.1097	|	1.2090	1.1607	-2.7033	21.9512	|	0.9639	0.4868	18.1147	41.8605	|  Best result at epoch 60
70	0.8936	1.1152	|	0.7438	0.6158	36.8121	53.6585	|	1.1035	0.6883	6.2580	27.9070	|  Best result at epoch 70
71	0.5159	1.1187	|	0.7567	0.5931	35.7192	53.6585	|	1.0980	0.6770	6.7253	27.9070	|  Best result at epoch 70
72	0.4339	1.1119	|	0.7585	0.6378	35.5685	56.0976	|	1.0811	0.7053	8.1579	32.5581	|  Best result at epoch 70
73	0.4917	1.0604	|	0.7513	0.5612	36.1801	53.6585	|	1.2399	0.9677	-5.3319	20.9302	|  Best result at epoch 70
74	0.3634	1.6581	|	1.0199	0.9246	13.3595	36.5854	|	1.5358	1.3488	-30.4703	13.9535	|  Best result at epoch 70
75	0.4784	1.1081	|	0.7760	0.6555	34.0789	58.5366	|	1.2457	1.1041	-5.8248	16.2791	|  Best result at epoch 70
76	0.4784	2.1075	|	1.1445	0.9870	2.7774	43.9024	|	1.6206	1.5330	-37.6712	18.6047	|  Best result at epoch 70
77	0.7081	1.2231	|	0.8277	0.7088	29.6847	51.2195	|	1.3393	1.0137	-13.7774	16.2791	|  Best result at epoch 70
78	0.6070	1.2539	|	0.8785	0.7256	25.3730	41.4634	|	1.0930	0.8742	7.1502	30.2326	|  Best result at epoch 70
79	0.4674	1.9242	|	1.0785	0.9127	8.3817	39.0244	|	1.6685	1.5964	-41.7351	11.6279	|  Best result at epoch 70
80	0.7118	1.1557	|	0.8209	0.7394	30.2657	51.2195	|	1.1613	1.0071	1.3475	20.9302	|  Best result at epoch 70
81	0.4504	1.1476	|	0.8180	0.7755	30.5135	48.7805	|	1.1438	0.8801	2.8371	23.2558	|  Best result at epoch 70
82	0.4172	1.2663	|	0.8788	0.7911	25.3442	43.9024	|	1.0374	0.7518	11.8686	34.8837	|  Best result at epoch 70
83	0.5811	1.6345	|	0.9922	0.7221	15.7131	43.9024	|	1.2829	0.8921	-8.9789	27.9070	|  Best result at epoch 70
84	0.4928	2.0818	|	1.1597	0.9734	1.4859	34.1463	|	1.0076	0.4765	14.4051	44.1860	|  Best result at epoch 70
85	0.6525	1.8323	|	1.0222	0.6950	13.1640	48.7805	|	1.4276	0.9349	-21.2763	23.2558	|  Best result at epoch 70
86	0.3922	1.6529	|	0.9427	0.7495	19.9174	46.3415	|	1.4332	1.1022	-21.7522	18.6047	|  Best result at epoch 70
87	0.3821	1.8971	|	1.0296	0.7310	12.5384	46.3415	|	1.7060	1.6526	-44.9280	9.3023	|  Best result at epoch 70
88	0.6744	1.1883	|	0.8301	0.7704	29.4837	46.3415	|	1.2355	0.9629	-4.9516	16.2791	|  Best result at epoch 70
89	0.2892	1.4871	|	0.8941	0.7119	24.0441	48.7805	|	1.3949	1.0673	-18.4932	20.9302	|  Best result at epoch 70
